doc_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
church_councils__the_fifth_general_council_of_the_lateran__1512_17,-9.267814804527214,-1.0917176934807986,-6.828319738607056,1.9302556090488194,3.926127684176581,-0.30714622778930106,-0.7196241545461407,0.8549054139775403,3.0546550941670074,-1.065780216943149
church_councils__the_first_general_council_of_constantinople__381,-8.084909596750354,-1.38803479761859,-5.573932625276711,0.3914581267839594,2.567514525637275,0.08356062892991581,-0.6170157954847768,0.6008460278744293,2.6674494173656966,-0.7699601954288668
church_councils__the_first_general_council_of_lyons__1245,-9.173552014720764,-1.2808676703080133,-9.610770789919856,1.3399637766996677,5.554313620025381,-0.4303228471694388,-1.0929311286115537,1.345111592462231,3.6373380415939,-1.1217283067598904
church_councils__the_first_general_council_of_nicaea__325,-5.317551829574394,-0.03700197757054402,-7.663904919545749,0.33992627249114027,0.80049968451782,0.22354009736367733,-0.3345444620414837,0.14912488720569156,1.4219953355135682,0.12660202660714737
church_councils__the_first_general_council_of_the_lateran__1123,-4.896321881601807,2.141564370106238,-9.862244074788405,1.7961925497698676,2.288487271272937,0.5918178399096385,1.2434025923726713,-0.6704866711192317,4.546366874682936,-1.2848521591687219
church_councils__the_first_general_council_of_the_vatican__1869_70,-4.642576371864789,1.1614404558701925,-6.688736688267194,-0.6874548152981466,0.5637775905611428,-0.03282846666730887,-0.18662510929305634,-0.18997713955872883,0.8360926839224588,-0.11904321655872013
church_councils__the_fourth_general_council_of_constantinople__869_,-10.368200623644281,-1.1527018684497305,-3.3042443778352344,2.492248868839712,4.887436094775579,-0.8365469197122625,-1.8496968660074637,0.9304415456430669,3.2297546874913556,-1.2056368623310556
church_councils__the_fourth_general_council_of_the_lateran__1215,-10.051539971658332,-2.0495939719445047,-8.227994987128989,1.4490585336943873,5.591858729838472,-0.26209444899539247,-1.3321028351401127,2.7240905399528206,3.9703315685497045,-1.7531966393154017
church_councils__the_general_council_of_basel_ferrara_florence__143,-9.50651721935422,-1.0845358253750332,-4.983494495634518,2.201734708332572,3.318493401803631,-0.6134783438655804,-0.4697466254189652,0.5641093522949943,2.9780470169228956,-1.0764112454128534
church_councils__the_general_council_of_chalcedon__451,-8.807575109641062,-1.7338259607221447,-4.451138916382625,1.0343052796929815,2.8102483268636913,-0.28232130357361335,-0.7117828883034352,0.7750115232252459,1.7930902452749755,-0.9374529699790315
church_councils__the_general_council_of_constance__1414_18,-8.352299971290833,-0.2638936255163812,-7.032445541475997,2.243023375225907,3.987308222346254,0.14732528563640837,-1.2709544913943287,1.9692605995741868,4.176389178833607,-1.3758178006487656
