term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
aa,-0.0016935431306822665,-0.0010270703693332208,0.004958549951958432,-0.0007698235943411046,0.0002510549756268789,0.00016570381284342897,-0.0005559858296196533,0.00010086597534475504,0.0010693943562281873,-0.00015231922669198733
aand,-0.0009637990421822777,-0.00041852135047741243,-0.000358714722387509,0.00029420565808597647,0.0006814283370426797,-0.00027040347789349605,-7.901351339494578e-05,-0.00028732494981870696,-4.3932577112565506e-05,0.00013539326797559414
aargau,-0.0007936240334023417,-0.00023443987725982026,-0.002324189375073465,0.0002906485884288436,0.000886645777419021,-0.00016577159759353948,6.624354920380874e-05,-0.00026515351540706464,0.00013261503483155462,-0.00015690860783015463
aaron,-0.00014734167883277192,2.185675102187461e-05,-0.001798684490398453,0.000435913064990621,0.0008080584908110607,0.00013143052537831757,-0.00015653655679251163,-0.00042867030865358633,1.5469464224944693e-05,-0.00029558719185945507
aas,-0.002834046991484562,-0.00011966029249823953,0.015523544063686594,-0.0031556060308551882,-0.0027353421954433984,0.0020004278763576457,0.0006858131405452746,0.0006166643650542382,0.0006948615131248067,0.00024673690074838046
ab,0.0028698563578672246,0.04763254560658027,0.0038790659288466213,-0.006413992650479438,-0.003026085539635298,0.0085895523037346,-0.004385600592404406,0.016924337459787803,0.00045721347412986844,0.0010436495769234144
abandon,-0.004176454804949462,-0.0015969930222547975,-0.003293754965203306,0.001006943092792927,0.0029029928117056043,-0.0007495353759032576,-2.5277253746953552e-05,-0.0004903466219729988,-9.229680604132903e-05,-0.0005373207358277655
abandoned,-0.00446835773779569,-0.00197112724560707,-0.0010833439937464643,0.0004217466194570793,0.0025448753607407084,-0.0006245366791810035,-0.00010863222652422706,-0.0005089057398353547,-0.00021894291482685245,-0.00030498639735139
abandoning,-0.002481144682088066,-0.0012784490378215387,0.001910538846847067,-8.651818517083369e-05,0.001061823445898963,-0.0003694198611197601,-0.00017914507750028513,-0.0005578786616357427,-0.0005390881817604427,6.142914489070022e-05
abandonment,-0.0034553257608286887,-0.002003337621156362,0.014131618240594121,-0.0015302455358696106,-0.001053986407040516,-7.602808234913463e-05,-0.0006569485398146619,-0.0004167682426024901,0.0003344445875277131,0.00012611774280074956
abandons,-0.0024758189971068483,-0.0012535249568101229,0.0012762499161717584,0.00025539701690365527,0.0012337670098003619,-0.0004424228664319219,-0.0002526678988590928,-0.0003443193158369275,-0.0004727060881374696,-0.00016711959029297642
abase,-0.0012638379656493433,-0.0007957318598935777,0.004519377944270889,-8.829871096827063e-05,0.00011581090777492433,7.437489892994753e-05,-0.00016808327775883944,0.00032898423222273203,-0.00039130128716661355,-4.6427861129180544e-05
abasement,-0.0012270328222897947,-0.0006143224865825781,0.008552958764088524,0.00026142100222602846,-0.000902113097015219,5.0298042384420096e-05,-0.00023562400796801758,-0.0006499742436137168,-0.00034337209555209894,-0.0005058803268368625
abate,0.007232771021099917,-0.0007676270770618064,0.00038510995407505487,-6.46891408552261e-05,0.0014252275914515688,0.0021653914571285533,0.010895044836086791,0.0030209590358832783,0.020375665869564005,0.008156760849929438
