term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
soul,0.0034653235,3.3845085e-05,0.00018214261,0.0008652589,0.0003739667,0.0003044087,0.0012224943,0.00061039644,0.00043077028,1.509269e-06
power,0.0033506057,0.00045585094,3.9807615e-05,0.0014564791,0.0012973994,0.0007105094,0.0024798787,8.231173e-06,0.0007389481,0.0008982241
would,0.0033091586,0.00030684983,0.0022833487,0.0018563523,0.00088248943,0.0007849107,0.0008538796,0.002513324,0.0042993827,0.0024051664
sacred,0.0032578232,3.3360946e-05,9.846789e-05,0.001515968,0.00031997202,0.0051610363,0.00063208834,0.00035292254,1.8260402e-05,5.8739282e-08
authority,0.0032531573,6.3634667e-07,0.0030381468,8.000397e-05,0.00027796923,0.0031366653,1.395478e-05,0.00033987145,7.512057e-05,0.00038354946
mind,0.0032225999,6.3875406e-05,0.00040009938,0.0009577167,0.0006472341,0.00043506292,0.00048176106,0.0005153128,0.0005699939,0.0004689896
also,0.0032103974,0.0006674226,0.0036791572,0.006857459,0.0033608275,0.006144486,0.0026347444,0.0054296064,0.004799518,0.0050512333
state,0.0031963226,0.00014602212,0.0045678187,0.00093828444,0.000539851,0.0027064746,0.000713351,7.510231e-05,0.0002019377,0.002081053
say,0.0031793192,0.00016675964,0.0008818389,0.004090221,0.00069029396,0.001004152,0.00354049,0.00042939672,0.010765244,0.00018261162
duty,0.003157529,4.7781254e-05,0.00062757224,0.0003275311,0.00085263024,0.0011947585,1.1426741e-05,5.7216384e-05,3.6429856e-06,0.0013381062
therefore,0.0029343173,8.105896e-07,0.0002805847,0.0027820098,0.0010465527,0.002250757,0.0007995655,0.0012194387,0.00061562035,0.0011357948
every,0.0029331192,9.809889e-05,0.0010644529,0.0026347453,0.0030639041,0.00047855102,0.0039870897,0.0037837708,0.0016518539,0.004029545
u,0.0029202548,0.003930056,0.001335418,0.0027323444,0.0027194978,5.919551e-05,0.023678161,0.002196898,0.030230189,0.0013698407
truth,0.0029077607,0.0008284856,0.00032199084,0.00920713,0.0015032721,0.0002861958,0.0009334372,0.0005098115,0.0003722137,0.0014228143
