pope_label,pope_card_url,pope_slug,pope_home_url
Liberius 17.V.352 24.IX.366,https://www.vatican.va/content/vatican/en/holy-father/liberio.html,liberio,https://www.vatican.va/content/liberio/en.html
Julius I 6.II.337 12.IV.352,https://www.vatican.va/content/vatican/en/holy-father/giulio-i.html,julius-i,https://www.vatican.va/content/julius-i/en.html
Mark 18.I.336 7.X.336,https://www.vatican.va/content/vatican/en/holy-father/marco.html,marco,https://www.vatican.va/content/marco/en.html
Sylvester I 31.I.314 31.XII.335,https://www.vatican.va/content/vatican/en/holy-father/silvestro-i.html,sylvester-i,https://www.vatican.va/content/sylvester-i/en.html
Miltiades or Melchiades 2.VII.311 10.I.314,https://www.vatican.va/content/vatican/en/holy-father/milziade-o-melchiade.html,milziade-o-melchiade,https://www.vatican.va/content/milziade-o-melchiade/en.html
Eusebius 18.IV.309 17.VIII.309,https://www.vatican.va/content/vatican/en/holy-father/eusebio.html,eusebio,https://www.vatican.va/content/eusebio/en.html
Marcellus I 306 16.I.309,https://www.vatican.va/content/vatican/en/holy-father/marcello-i.html,marcello-i,https://www.vatican.va/content/marcello-i/en.html
Marcellinus 30.VI.296 25.X.304,https://www.vatican.va/content/vatican/en/holy-father/marcellino.html,marcellino,https://www.vatican.va/content/marcellino/en.html
Caius 17.XII.283 22.IV.296,https://www.vatican.va/content/vatican/en/holy-father/caio.html,caio,https://www.vatican.va/content/caio/en.html
Eutichianus 4.I.275 7.XII.283,https://www.vatican.va/content/vatican/en/holy-father/eutichiano.html,eutichiano,https://www.vatican.va/content/eutichiano/en.html
Felix I 5.I.269 30.XII.274,https://www.vatican.va/content/vatican/en/holy-father/felice-i.html,felice-i,https://www.vatican.va/content/felice-i/en.html
Dionysius 22.VII.259 26.XII.268,https://www.vatican.va/content/vatican/en/holy-father/dionisio.html,dionisio,https://www.vatican.va/content/dionisio/en.html
Sixtus II 30.VIII.257 6.VIII.258,https://www.vatican.va/content/vatican/en/holy-father/sisto-ii.html,sixtus-ii,https://www.vatican.va/content/sixtus-ii/en.html
Stephen I 12.III.254 2.VIII.257,https://www.vatican.va/content/vatican/en/holy-father/stefano-i.html,stephen-i,https://www.vatican.va/content/stephen-i/en.html
Lucius I ... VI or VII.253 5.III.254,https://www.vatican.va/content/vatican/en/holy-father/lucio-i.html,lucius-i,https://www.vatican.va/content/lucius-i/en.html
Cornelius 6 or 13.III.251 ... VI.253,https://www.vatican.va/content/vatican/en/holy-father/cornelio.html,cornelio,https://www.vatican.va/content/cornelio/en.html
Fabian ... 236 20.I.250,https://www.vatican.va/content/vatican/en/holy-father/fabiano.html,fabiano,https://www.vatican.va/content/fabiano/en.html
Anterus 21.XI.235 3.I.236,https://www.vatican.va/content/vatican/en/holy-father/antero.html,antero,https://www.vatican.va/content/antero/en.html
Pontianus 21.VII.230 28.IX.235,https://www.vatican.va/content/vatican/en/holy-father/ponziano.html,ponziano,https://www.vatican.va/content/ponziano/en.html
Urban I 222 230,https://www.vatican.va/content/vatican/en/holy-father/urbano-i.html,urban-i,https://www.vatican.va/content/urban-i/en.html
Callistus I 218 222,https://www.vatican.va/content/vatican/en/holy-father/callisto-i.html,callixtus-i,https://www.vatican.va/content/callixtus-i/en.html
Zephyrinus 198 217 or 218,https://www.vatican.va/content/vatican/en/holy-father/zefirino.html,zefirino,https://www.vatican.va/content/zefirino/en.html
Victor I 186 or 189 197 or 201,https://www.vatican.va/content/vatican/en/holy-father/vittore-i.html,vittore-i,https://www.vatican.va/content/vittore-i/en.html
Eleutherius 171 or 177 185 or 193,https://www.vatican.va/content/vatican/en/holy-father/eleuterio.html,eleuterio,https://www.vatican.va/content/eleuterio/en.html
Soterus 162 or 168 170 or 177,https://www.vatican.va/content/vatican/en/holy-father/sotero.html,sotero,https://www.vatican.va/content/sotero/en.html
Anicetus 150 or 157 153 or 168,https://www.vatican.va/content/vatican/en/holy-father/aniceto.html,aniceto,https://www.vatican.va/content/aniceto/en.html
Pius I 142 or 146 157 or 161,https://www.vatican.va/content/vatican/en/holy-father/pio-i.html,pius-i,https://www.vatican.va/content/pius-i/en.html
Hyginus 138 142 or 149,https://www.vatican.va/content/vatican/en/holy-father/igino.html,igino,https://www.vatican.va/content/igino/en.html
Telesphorus 127 or 128 137 or 138,https://www.vatican.va/content/vatican/en/holy-father/telesforo.html,telesforo,https://www.vatican.va/content/telesforo/en.html
Sixtus I 117 or 119 126 or 128,https://www.vatican.va/content/vatican/en/holy-father/sisto-i.html,sixtus-i,https://www.vatican.va/content/sixtus-i/en.html
Alexander I 108 or 109 116 or 119,https://www.vatican.va/content/vatican/en/holy-father/alessandro-i.html,alexander-i,https://www.vatican.va/content/alexander-i/en.html
Evaristus 99 or 96 108,https://www.vatican.va/content/vatican/en/holy-father/evaristo.html,evaristo,https://www.vatican.va/content/evaristo/en.html
Clement 92 99,https://www.vatican.va/content/vatican/en/holy-father/clemente.html,clement,https://www.vatican.va/content/clement/en.html
Anacletus or Cletus 80 92,https://www.vatican.va/content/vatican/en/holy-father/anacleto-o-cleto.html,anacleto-o-cleto,https://www.vatican.va/content/anacleto-o-cleto/en.html
Linus 68 79,https://www.vatican.va/content/vatican/en/holy-father/papa-lino.html,papa-lino,https://www.vatican.va/content/papa-lino/en.html
Peter 64 or 67,https://www.vatican.va/content/vatican/en/holy-father/san-pietro.html,san-pietro,https://www.vatican.va/content/san-pietro/en.html
