,explained_variance
PC0,0.003759105933168497
PC1,0.003667019406404968
PC2,0.003636269448667358
PC3,0.003571718096320202
PC4,0.003084191427975632
PC5,0.002820543954467007
PC6,0.0025788729273062308
PC7,0.002573235054312699
PC8,0.0023626568717874824
PC9,0.0022484417617024354
