term_str,doc_id
labor,pope_st__john_paul_ii__reconciliatio_et_paenitentia
labor,pope_st__john_paul_ii__redemptoris_custos
labor,pope_st__john_paul_ii__sollicitudo_rei_socialis
labor,pope_st__john_xxiii__ad_petri_cathedram
labor,pope_st__john_xxiii__le_voci_che_da_tutti
labor,pope_st__john_xxiii__mater_et_magistra
labor,pope_st__john_xxiii__princeps_pastorum
labor,pope_st__john_xxiii__religiosorum_institutio
labor,pope_st__john_xxiii__sacerdotii_nostri_primordia
labor,pope_st__pius_v__quo_primum
labor,pope_st__pius_x__acerbo_nimis
labor,pope_st__pius_x__e_supremi
labor,pope_st__pius_x__editae_saepe
labor,pope_st__pius_x__haerent_animo
labor,pope_st__pius_x__il_fermo_proposito
labor,pope_st__pius_x__lacrimabili_statu
labor,pope_st__pius_x__notre_charge_apostolique
labor,pope_st__pius_x__pascendi_dominici_gregis
labor,pope_st__pius_x__singulari_quadam
labor,pope_st__pius_x__the_oath_against_modernism
labor,pope_st__pius_x__vehementer_nos
labor,vatican__benedict-xv__en__encyclicals_documents_hf_ben_xv_enc_05101920_principi_apostolorum_petro_html
labor,vatican__benedict-xv__en__encyclicals_documents_hf_ben_xv_enc_06011921_sacra_propediem_html
labor,vatican__benedict-xv__en__encyclicals_documents_hf_ben_xv_enc_15061917_humani_generis_redemptionem_html
labor,vatican__benedict-xv__en__encyclicals_documents_hf_ben_xv_enc_15091920_spiritus_paraclitus_html
labor,vatican__benedict-xv__en__encyclicals_documents_hf_ben_xv_enc_29061921_fausto_appetente_die_html
labor,vatican__benedict-xvi__en__homilies_2009_documents_hf_ben_xvi_hom_20090513_mangiatoia_html
labor,vatican__benedict-xvi__en__homilies_2009_documents_hf_ben_xvi_hom_20091025_chiusura_sinodo_africa_html
labor,vatican__benedict-xvi__en__speeches_2009_may_documents_hf_ben_xvi_spe_20090509_capi_musulmani_html
labor,vatican__benedict-xvi__en__speeches_2011_august_documents_hf_ben_xvi_spe_20110819_docenti_el_escorial_html
labor,vatican__benedict-xvi__en__speeches_2011_march_documents_hf_ben_xvi_spe_20110303_bishops_philippines_html
labor,vatican__francesco__en__angelus_2015_documents_papa_francesco_angelus_20150802_html
labor,vatican__francesco__en__audiences_2016_documents_papa_francesco_20160914_udienza_generale_html
labor,vatican__francesco__en__audiences_2016_documents_papa_francesco_20161112_udienza_giubilare_html
labor,vatican__francesco__en__audiences_2018_documents_papa_francesco_20181107_udienza_generale_html
labor,vatican__francesco__en__homilies_2014_documents_papa_francesco_20140525_terra_santa_omelia_bethlehem_html
labor,vatican__francesco__en__homilies_2014_documents_papa_francesco_20140818_corea_omelia_pace_riconciliazione_html
