doc_id,vader_neg,vader_neu,vader_pos,vader_compound
pope_bl__pius_ix__exultavit_cor_nostrum,0.068,0.691,0.242,0.9998
pope_bl__pius_ix__graves_ac_diuturnae,0.086,0.672,0.241,0.9998
pope_bl__pius_ix__gravibus_ecclesiae,0.068,0.774,0.158,0.9997
pope_bl__pius_ix__incredibili,0.131,0.719,0.15,0.9952
pope_bl__pius_ix__ineffabilis_deus,0.044,0.73,0.225,1.0
pope_bl__pius_ix__inter_multiplices,0.06,0.673,0.267,1.0
pope_bl__pius_ix__levate,0.156,0.681,0.163,0.5684
pope_bl__pius_ix__maximae_quidem,0.085,0.72,0.195,0.9994
pope_bl__pius_ix__meridionali_americae,0.068,0.67,0.261,0.9975
pope_bl__pius_ix__neminem_vestrum,0.05,0.735,0.215,1.0
pope_bl__pius_ix__nemo_certe_ignorat,0.065,0.681,0.254,0.9999
pope_bl__pius_ix__nostis_et_nobiscum,0.127,0.671,0.202,0.9999
pope_bl__pius_ix__nullis_certe_verbis,0.078,0.745,0.177,0.9995
pope_bl__pius_ix__omnem_sollicitudinem,0.066,0.765,0.169,0.9995
pope_bl__pius_ix__optime_noscitis,0.036,0.759,0.204,0.9998
pope_bl__pius_ix__praedecessores_nostros,0.082,0.755,0.163,0.9985
pope_bl__pius_ix__probe_noscitis_venerabiles,0.046,0.715,0.238,0.9998
pope_bl__pius_ix__quae_in_patriarchatu,0.064,0.805,0.131,0.9995
pope_bl__pius_ix__quanta_cura,0.086,0.717,0.196,0.9999
pope_bl__pius_ix__quanto_conficiamur_moerore,0.12,0.686,0.194,0.9997
pope_bl__pius_ix__quartus_supra,0.092,0.769,0.139,0.9997
pope_bl__pius_ix__qui_nuper,0.084,0.792,0.124,0.9718
pope_bl__pius_ix__qui_pluribus,0.1,0.662,0.238,1.0
pope_bl__pius_ix__quod_nunquam,0.126,0.698,0.176,0.998
pope_bl__pius_ix__respicientes,0.138,0.71,0.152,0.9927
pope_bl__pius_ix__saepe_venerabiles_fratre,0.058,0.658,0.284,0.9999
pope_bl__pius_ix__saepe_venerabiles_fratres,0.058,0.658,0.284,0.9999
pope_bl__pius_ix__singulari_quidem,0.06,0.721,0.218,1.0
pope_bl__pius_ix__the_syllabus_of_errors,0.061,0.804,0.134,0.9999
pope_bl__pius_ix__ubi_nos,0.08,0.664,0.256,1.0
pope_bl__pius_ix__ubi_primum,0.036,0.718,0.246,0.9999
pope_bl__pius_ix__vix_dum_a_nobis,0.103,0.726,0.17,0.9995
pope_boniface_viii__unam_sanctam,0.037,0.838,0.125,0.9976
pope_clement_v__exivi_de_paradiso,0.051,0.865,0.084,0.9955
pope_clement_xi__unigenitus,0.123,0.65,0.227,0.9999
pope_clement_xii__in_eminenti,0.097,0.77,0.134,0.9859
pope_clement_xiii__a_quo_die,0.094,0.698,0.209,1.0
pope_clement_xiii__appetente_sacro,0.104,0.742,0.153,0.9958
pope_clement_xiii__christianae_reipublicae,0.156,0.677,0.167,0.9009
pope_clement_xiii__cum_primum,0.088,0.787,0.125,0.999
pope_clement_xiii__in_dominico_agro,0.107,0.668,0.224,0.9998
pope_clement_xiii__pastoralis_officii,0.163,0.621,0.217,0.9988
pope_clement_xiii__summa_quae,0.116,0.745,0.139,0.9551
pope_clement_xiv__cum_summi,0.066,0.694,0.24,0.9999
pope_clement_xiv__decet_quam_maxime,0.052,0.824,0.124,0.9999
pope_clement_xiv__inscrutabili_divinae_sapientiae,0.044,0.811,0.145,0.9988
pope_clement_xiv__salutis_nostrae,0.032,0.72,0.248,0.9999
pope_eugene_iv__sicut_dudum,0.066,0.837,0.096,0.9453
pope_francis__amoris_laetitia___post_synodal_apostolic_exhortati,0.0,0.863,0.137,0.7125
pope_francis__belarusian,0.0,1.0,0.0,0.0
pope_francis__chinese_simple,0.0,0.973,0.027,0.9406
pope_francis__dilexit_nos_,0.079,0.768,0.153,0.9999
pope_francis__evangelii_guadium,0.054,0.712,0.235,1.0
pope_francis__fratelli_tutti_,0.14,0.691,0.169,0.9994
pope_francis__laudato_si_,0.107,0.731,0.162,0.9998
pope_francis__lumen_fidei,0.046,0.674,0.279,1.0
pope_francis__misericordia_et_misera,0.072,0.635,0.293,1.0
pope_francis__placuit_deo,0.052,0.795,0.153,0.9999
pope_gregory_ix__mira_circa_nos,0.091,0.693,0.216,0.9998
pope_gregory_x__protection_of_the_jews,0.137,0.788,0.075,-0.9981
pope_gregory_xiii__english___alternate_wikisource_translation,0.033,0.846,0.121,0.9995
pope_gregory_xiii__inter_gravissimas,0.022,0.929,0.05,0.8372
pope_gregory_xvi__commissum_divinitus,0.083,0.774,0.142,0.9997
pope_gregory_xvi__cum_primum,0.079,0.742,0.179,0.9989
pope_gregory_xvi__in_supremo_apostolatus,0.109,0.754,0.137,0.9771
pope_gregory_xvi__inter_praecipuas,0.077,0.804,0.118,0.9993
pope_gregory_xvi__mirari_vos,0.135,0.714,0.15,0.9962
pope_gregory_xvi__probe_nostis,0.096,0.671,0.233,0.9999
pope_gregory_xvi__quas_vestro,0.084,0.734,0.182,0.9996
pope_gregory_xvi__quo_graviora,0.097,0.79,0.114,0.9947
pope_gregory_xvi__singulari_nos,0.127,0.687,0.186,0.9991
pope_gregory_xvi__summo_iugiter_studio,0.088,0.724,0.188,0.9997
pope_honorious_iii__solet_annuere,0.061,0.808,0.131,0.9995
pope_innocent_iv__quae_honorem_conditoris_omnium,0.052,0.844,0.103,0.9978
pope_innocent_xi__coelestis_pastor,0.081,0.702,0.218,0.9999
pope_john_xxii__ad_ea_ex_quibus,0.0,0.887,0.113,0.5319
pope_john_xxii__quia_quorundam,0.037,0.856,0.106,0.9999
pope_john_xxii__quum_inter_nonnullos,0.028,0.929,0.043,0.8641
pope_leo_x__decet_romanum_pontificem,0.097,0.779,0.124,0.9955
pope_leo_x__exsurge_domine,0.151,0.696,0.153,-0.956
pope_leo_xii__charitate_christi,0.111,0.712,0.177,0.9999
pope_leo_xii__quanta_laetitia,0.0,0.876,0.124,0.7003
pope_leo_xii__quo_graviora,0.104,0.764,0.133,0.9992
pope_leo_xii__quod_hoc_ineunte,0.053,0.755,0.192,0.9999
pope_leo_xii__ubi_primum,0.096,0.688,0.216,0.9999
pope_leo_xiii__ad_extremas,0.051,0.803,0.146,0.9995
pope_leo_xiii__adiutricem,0.035,0.685,0.28,1.0
pope_leo_xiii__aeterni_patris,0.062,0.684,0.255,1.0
pope_leo_xiii__affari_vos,0.069,0.728,0.203,0.9999
pope_leo_xiii__amantissimae_voluntatis,0.043,0.693,0.264,1.0
pope_leo_xiii__annum_sacrum,0.052,0.737,0.212,0.9999
pope_leo_xiii__apostolicae_curae,0.038,0.838,0.124,0.9999
pope_leo_xiii__arcanum,0.062,0.78,0.158,0.9999
pope_leo_xiii__au_milieu_des_sollicitudes,0.089,0.734,0.178,0.9999
pope_leo_xiii__augustissimae_virginis_mariae,0.029,0.731,0.24,1.0
pope_leo_xiii__auspicato_concessum,0.083,0.699,0.217,1.0
pope_leo_xiii__caritatis_studium,0.061,0.727,0.212,1.0
pope_leo_xiii__catholicae_ecclesiae,0.069,0.743,0.188,0.9996
pope_leo_xiii__christi_nomen,0.031,0.718,0.251,0.9998
pope_leo_xiii__constanti_hungarorum,0.077,0.69,0.233,0.9999
pope_leo_xiii__cum_multa,0.056,0.732,0.212,1.0
pope_leo_xiii__custodi_di_quella_fede,0.117,0.708,0.175,0.9997
pope_leo_xiii__dall_alto_dell_apostolico_seggio,0.095,0.734,0.171,0.9999
pope_leo_xiii__depuis_le_jour,0.047,0.774,0.179,1.0
pope_leo_xiii__diuturni_temporis,0.018,0.681,0.301,0.9999
pope_leo_xiii__diuturnum,0.083,0.714,0.203,1.0
pope_leo_xiii__divinum_illud_munus,0.052,0.724,0.223,1.0
pope_leo_xiii__dum_multa,0.062,0.695,0.243,0.9995
pope_leo_xiii__etsi_cunctas,0.068,0.666,0.266,0.9984
pope_leo_xiii__etsi_nos,0.107,0.703,0.19,0.9999
pope_leo_xiii__exeunte_iam_anno,0.12,0.672,0.207,0.9999
pope_leo_xiii__fidentem_piumque_animum,0.026,0.72,0.254,1.0
pope_leo_xiii__fin_dal_principio,0.04,0.768,0.192,1.0
pope_leo_xiii__grande_munus,0.041,0.748,0.212,1.0
pope_leo_xiii__graves_de_communi_re,0.083,0.742,0.175,0.9999
pope_leo_xiii__gravissimas,0.047,0.821,0.132,0.9954
pope_leo_xiii__humanum_genus,0.1,0.762,0.138,0.9995
pope_leo_xiii__iampridem,0.069,0.69,0.241,1.0
pope_leo_xiii__immortale_dei,0.05,0.767,0.184,1.0
pope_leo_xiii__in_amplissimo,0.03,0.704,0.266,0.9998
pope_leo_xiii__in_ipso,0.065,0.71,0.225,0.9999
pope_leo_xiii__in_plurimis,0.105,0.699,0.195,0.9999
pope_leo_xiii__inimica_vis,0.138,0.678,0.185,0.9975
pope_leo_xiii__inscrutabili_dei_consilio,0.101,0.678,0.221,1.0
pope_leo_xiii__insignes,0.052,0.715,0.234,1.0
pope_leo_xiii__iucunda_semper_expectatione,0.059,0.697,0.244,1.0
pope_leo_xiii__laetitiae_sanctae,0.088,0.69,0.222,1.0
pope_leo_xiii__libertas_praestantissimum__a,0.077,0.69,0.233,1.0
pope_leo_xiii__licet_multa,0.034,0.808,0.158,0.9994
pope_leo_xiii__litteras_a_vobis,0.053,0.743,0.204,0.9998
pope_leo_xiii__longinqua,0.046,0.751,0.204,1.0
pope_leo_xiii__magnae_dei_matris,0.077,0.647,0.277,1.0
pope_leo_xiii__magni_nobis,0.01,0.754,0.236,0.9996
pope_leo_xiii__militantis_ecclesiae,0.068,0.695,0.237,1.0
pope_leo_xiii__mirae_caritatis,0.051,0.745,0.204,1.0
pope_leo_xiii__misericors_dei_filius,0.054,0.79,0.157,0.9999
pope_leo_xiii__nobilissima_gallorum_gens,0.081,0.714,0.206,0.9999
pope_leo_xiii__octobri_mense,0.073,0.658,0.269,1.0
pope_leo_xiii__officio_sanctissimo,0.074,0.727,0.2,1.0
pope_leo_xiii__omnibus_compertum,0.018,0.741,0.241,0.9998
pope_leo_xiii__orientalium_dignitas,0.013,0.793,0.194,0.9999
pope_leo_xiii__pastoralis,0.047,0.71,0.243,1.0
pope_leo_xiii__pastoralis_officii,0.163,0.621,0.217,0.9988
pope_leo_xiii__paternae,0.053,0.755,0.192,0.9998
pope_leo_xiii__pergrata,0.053,0.7,0.248,1.0
pope_leo_xiii__permoti_nos,0.073,0.71,0.217,0.9998
pope_leo_xiii__praeclara_gratulationis_publicae,0.06,0.729,0.21,1.0
pope_leo_xiii__providentissimus_deus,0.034,0.763,0.204,1.0
pope_leo_xiii__quae_ad_nos,0.066,0.763,0.171,0.9915
pope_leo_xiii__quam_aerumnosa,0.077,0.731,0.192,0.9996
pope_leo_xiii__quam_religiosa,0.02,0.78,0.199,0.9995
pope_leo_xiii__quamquam_pluries,0.04,0.747,0.212,0.9999
pope_leo_xiii__quarto_abeunte_saeculo,0.054,0.727,0.219,0.9999
pope_leo_xiii__quod_anniversarius,0.078,0.705,0.217,0.9993
pope_leo_xiii__quod_apostolici_muneris,0.105,0.698,0.197,0.9999
pope_leo_xiii__quod_auctoritate,0.048,0.756,0.196,0.9999
pope_leo_xiii__quod_multum,0.066,0.694,0.239,1.0
pope_leo_xiii__quod_votis,0.014,0.73,0.257,0.9986
pope_leo_xiii__quum_diuturnum,0.021,0.768,0.211,0.9988
pope_leo_xiii__reputantiubus,0.046,0.779,0.176,0.9995
pope_leo_xiii__rerum_novarum,0.1,0.759,0.141,0.9997
pope_leo_xiii__saepe_nos,0.092,0.727,0.181,0.9993
pope_leo_xiii__sancta_dei_civitas,0.054,0.735,0.21,1.0
pope_leo_xiii__sapientiae_christianae,0.083,0.706,0.211,1.0
pope_leo_xiii__satis_cognitum,0.034,0.809,0.157,1.0
pope_leo_xiii__spectata_fides,0.039,0.747,0.215,0.9996
pope_leo_xiii__spesse_volte,0.118,0.702,0.18,0.9998
pope_leo_xiii__superiore_anno,0.037,0.773,0.19,0.9997
pope_leo_xiii__supremi_apostolatus_officio,0.061,0.7,0.239,1.0
pope_leo_xiii__tametsi_futura_prospicientibus,0.09,0.701,0.209,1.0
pope_leo_xiii__testem_benevolentiae_nostrae,0.05,0.743,0.208,1.0
pope_leo_xiii__urbanitatis_veteris,0.028,0.697,0.275,0.9999
pope_leo_xiii__vi_e_ben_noto,0.038,0.728,0.234,0.9998
pope_nicholas_iii__exiit_qui_seminat,0.033,0.847,0.12,0.9999
pope_nicholas_iv__supra_montem,0.042,0.852,0.106,0.9998
pope_nicholas_v__romanus_pontifex,0.049,0.81,0.14,0.9999
pope_paul_iii__sublimis_deus,0.064,0.708,0.228,0.9989
pope_paul_vi__address_during_the_last_general_meeting_of_vatican,0.031,0.765,0.204,1.0
pope_paul_vi__christi_matri,0.076,0.685,0.238,0.9999
pope_paul_vi__confronting_the_devil_s_power,0.225,0.646,0.129,-0.9999
pope_paul_vi__credo_of_the_people_of_god,0.049,0.731,0.221,1.0
pope_paul_vi__ecclesiae_sanctae,0.029,0.852,0.119,0.9999
pope_paul_vi__ecclesiam_suam,0.041,0.772,0.188,1.0
pope_paul_vi__election_of_the_roman_pontiff,0.052,0.864,0.085,0.9987
pope_paul_vi__evangelii_nuntiandi,0.032,0.795,0.172,1.0
pope_paul_vi__gaudete_in_domino,0.065,0.645,0.29,1.0
pope_paul_vi__general_catechetical_directory,0.041,0.788,0.17,1.0
pope_paul_vi__humanae_vitae,0.057,0.731,0.213,1.0
pope_paul_vi__indulgentiarum_doctrina,0.071,0.712,0.218,1.0
pope_paul_vi__inter_insigniores,0.038,0.831,0.131,0.9999
pope_paul_vi__last_will_and_testament_of_pope_paul_vi,0.03,0.758,0.213,0.9998
pope_paul_vi__marialis_cultus,0.014,0.745,0.241,1.0
pope_paul_vi__mense_maio,0.069,0.712,0.219,0.9998
pope_paul_vi__missale_romanum,0.013,0.861,0.126,0.9996
pope_paul_vi__mysterium_fidei,0.046,0.782,0.172,1.0
pope_paul_vi__octagesima_adveniens,0.086,0.751,0.163,0.9999
pope_paul_vi__on_religious_life,0.037,0.758,0.205,1.0
pope_paul_vi__orientalium_ecclesiarum,0.017,0.871,0.112,0.9999
pope_paul_vi__paenitemini,0.051,0.798,0.152,0.9999
