doc_id,vader_neg,vader_neu,vader_pos,vader_compound
vatican__benedict-xvi__en__messages_pont_messages_2009_documents_hf_ben_xvi_mes_20091117_vietnam_html,0.0,0.779,0.221,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2009_documents_hf_ben_xvi_mes_20091125_patriarch_constantinople_html,0.027,0.758,0.215,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2009_documents_hf_ben_xvi_mes_20091126_fisichella_telescopio_html,0.024,0.828,0.148,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2009_documents_hf_ben_xvi_mes_20091207_dio_oggi_html,0.028,0.77,0.202,0.9991
vatican__benedict-xvi__en__messages_pont_messages_2009_documents_hf_ben_xvi_mes_20091219_giubileo_compostelano_html,0.027,0.819,0.155,0.9991
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100208_fraternita2010_html,0.032,0.76,0.207,0.9981
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100227_70bartolomeo_html,0.0,0.731,0.269,0.9949
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100503_toaff_html,0.06,0.74,0.2,0.9893
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100510_kirchentag2_html,0.043,0.707,0.249,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100511_cristo_rei_html,0.02,0.787,0.192,0.9962
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100627_conf_episc_belgio_html,0.061,0.781,0.159,0.9689
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20100705_rogazionisti_html,0.02,0.799,0.181,0.999
vatican__benedict-xvi__en__messages_pont_messages_2010_documents_hf_ben_xvi_mes_20101222_bbc_html,0.068,0.693,0.239,0.9978
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110105_terremoto_haiti_html,0.034,0.744,0.222,0.9928
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110121_vocaciones_lat_html,0.003,0.764,0.233,0.9997
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110128_400_santo_tomas_html,0.0,0.748,0.252,0.998
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110216_fraternita_2011_html,0.077,0.716,0.206,0.997
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110325_parvis_gentils_html,0.049,0.772,0.179,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110328_antonelli_html,0.03,0.744,0.226,0.9992
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110429_social_sciences_html,0.012,0.755,0.233,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110501_osservatore_romano_html,0.0,0.753,0.247,0.9846
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110502_plenaria_pcb_html,0.008,0.794,0.198,0.9992
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110506_azione_cattolica_html,0.021,0.745,0.234,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20110720_moscone_html,0.055,0.739,0.206,0.9991
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20111004_adveniat_html,0.011,0.782,0.207,0.9984
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20111101_familia_ecuador_html,0.048,0.727,0.225,0.9994
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20111124_bartolomeo_s_andrea_html,0.014,0.784,0.202,0.9991
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20111130_pontifical_academies_html,0.012,0.794,0.194,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2011_documents_hf_ben_xvi_mes_20111216_napoli_html,0.034,0.753,0.214,0.9974
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120209_gesu_contemporaneo_html,0.034,0.808,0.158,0.9986
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120211_fraternita_2012_html,0.064,0.788,0.148,0.9931
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120322_via_crucis_html,0.065,0.694,0.242,0.999
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120324_chiesa_francia_html,0.011,0.783,0.206,0.9991
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120406_sacra_tunica_html,0.033,0.814,0.153,0.9986
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120418_pastorale_turismo_html,0.028,0.781,0.191,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120418_pcb_html,0.014,0.784,0.202,0.9985
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120427_social_sciences_html,0.052,0.749,0.199,0.999
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120514_katholikentag_html,0.027,0.754,0.219,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120523_queen_elizabeth_ii_html,0.009,0.735,0.257,0.9958
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120527_patriarch_mar_dinkha_iv_html,0.007,0.746,0.247,0.9973
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120606_europei2012_html,0.052,0.692,0.257,0.9988
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120615_bogota_html,0.043,0.758,0.198,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120617_50cong_euc_dublino_html,0.028,0.711,0.26,0.9999
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120716_avila_html,0.019,0.788,0.192,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120803_hieizan_html,0.039,0.7,0.261,0.9971
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120810_fiac_html,0.01,0.785,0.204,0.9996
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120810_meeting_rimini_html,0.055,0.764,0.181,0.9995
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120820_congresso_panafricano_html,0.04,0.698,0.263,0.9999
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120903_card_martini_html,0.065,0.733,0.202,0.9969
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20120908_10piazze_10comandamenti_html,0.069,0.669,0.261,0.9993
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20121105_coptic_orthodox_church_html,0.0,0.737,0.263,0.9975
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20121113_corte_gentili_html,0.056,0.673,0.271,0.9997
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20121114_tawadros_ii_html,0.0,0.781,0.219,0.9979
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20121121_pontifical_academies_html,0.005,0.786,0.209,0.9998
vatican__benedict-xvi__en__messages_pont_messages_2012_documents_hf_ben_xvi_mes_20121123_bartolomeo_s_andrea_html,0.031,0.749,0.22,0.9996
vatican__benedict-xvi__en__messages_pont_messages_2013_documents_hf_ben_xvi_mes_20130107_cambogia_html,0.013,0.755,0.233,0.9992
vatican__benedict-xvi__en__messages_pont_messages_2013_documents_hf_ben_xvi_mes_20130204_arcivescovo_canterbury_html,0.013,0.797,0.19,0.997
vatican__benedict-xvi__en__messages_pont_messages_2013_documents_hf_ben_xvi_mes_20130208_fraternidade_html,0.022,0.777,0.201,0.9996
vatican__benedict-xvi__en__messages_pont_messages_2013_documents_hf_ben_xvi_mes_20130213_ifad_html,0.053,0.75,0.197,0.9997
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20051208_world_day_of_the_sick_2006_html,0.119,0.702,0.18,0.9953
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20061208_world_day_of_the_sick_2007_html,0.095,0.722,0.183,0.9973
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20080111_world_day_of_the_sick_2008_html,0.08,0.778,0.142,0.9978
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20090202_world_day_of_the_sick_2009_html,0.114,0.696,0.19,0.9991
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20091122_world_day_of_the_sick_2010_html,0.101,0.731,0.168,0.9979
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20101121_world_day_of_the_sick_2011_html,0.11,0.683,0.207,0.9996
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20111120_world_day_of_the_sick_2012_html,0.102,0.717,0.181,0.9997
vatican__benedict-xvi__en__messages_sick_documents_hf_ben_xvi_mes_20130102_world_day_of_the_sick_2013_html,0.119,0.667,0.214,0.9992
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20050420_missa_pro_ecclesia_html,0.035,0.76,0.205,0.9999
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20051225_urbi_html,0.075,0.701,0.224,0.9995
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20060416_urbi_easter_html,0.083,0.738,0.179,0.9989
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20061225_urbi_html,0.101,0.689,0.21,0.9996
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20070408_urbi_easter_html,0.155,0.657,0.188,0.9938
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20071225_urbi_html,0.082,0.662,0.256,0.9998
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20080323_urbi_easter_html,0.072,0.751,0.177,0.9992
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20081225_urbi_html,0.094,0.704,0.202,0.9995
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20090412_urbi_easter_html,0.113,0.704,0.183,0.999
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20091225_urbi_html,0.106,0.701,0.193,0.9989
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20100404_urbi_easter_html,0.112,0.702,0.185,0.9979
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20101225_urbi_html,0.031,0.712,0.257,0.9998
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20110424_urbi_easter_html,0.101,0.713,0.185,0.9979
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20111225_urbi_html,0.063,0.735,0.201,0.9992
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20120408_urbi_easter_html,0.125,0.616,0.259,0.9994
vatican__benedict-xvi__en__messages_urbi_documents_hf_ben_xvi_mes_20121225_urbi_html,0.061,0.636,0.303,0.9998
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20060305_xliii_vocations_html,0.011,0.819,0.17,0.9998
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20070210_xliv_vocations_html,0.007,0.82,0.173,0.9998
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20071203_xlv_vocations_html,0.038,0.784,0.178,0.9998
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20090120_xlvi_vocations_html,0.027,0.759,0.214,0.9999
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20091113_xlvii_vocations_html,0.027,0.769,0.204,0.9999
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20101115_xlviii_vocations_html,0.015,0.756,0.229,0.9999
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20111018_xlix_vocations_html,0.017,0.687,0.297,1.0
vatican__benedict-xvi__en__messages_vocations_documents_hf_ben_xvi_mes_20121006_l_vocations_html,0.021,0.701,0.278,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20060222_youth_html,0.033,0.762,0.205,0.9999
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20070127_youth_html,0.049,0.602,0.348,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20070720_youth_html,0.025,0.756,0.218,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20090222_youth_html,0.065,0.695,0.24,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20100222_youth_html,0.055,0.689,0.256,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20100806_youth_html,0.046,0.695,0.259,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20120315_youth_html,0.041,0.612,0.348,1.0
vatican__benedict-xvi__en__messages_youth_documents_hf_ben_xvi_mes_20121018_youth_html,0.03,0.731,0.24,1.0
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20050531_antica_venerabile_basilica_html,0.001,0.885,0.113,0.9988
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20050628_compendio_catechismo_html,0.008,0.819,0.173,0.9985
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20070707_summorum_pontificum_html,0.014,0.79,0.197,0.9999
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20101230_attivita_illegali_html,0.088,0.842,0.07,-0.958
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20110830_quaerit_semper_html,0.003,0.885,0.112,0.9975
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20111011_porta_fidei_html,0.028,0.75,0.222,1.0
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20121110_latina_lingua_html,0.013,0.898,0.089,0.9983
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20121111_caritas_html,0.015,0.77,0.215,1.0
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20130116_fides_per_doctrinam_html,0.01,0.847,0.143,0.9995
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20130116_ministrorum_institutio_html,0.009,0.909,0.082,0.9988
vatican__benedict-xvi__en__motu_proprio_documents_hf_ben_xvi_motu_proprio_20130222_normas_nonnullas_html,0.045,0.875,0.079,0.9973
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20050511_prayer_guadalupe_html,0.017,0.756,0.226,0.9921
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20051208_prayer_immacolata_html,0.005,0.809,0.186,0.9991
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20060708_prayer_valencia_html,0.088,0.808,0.103,0.0559
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20060909_prayer_mariensaeule_html,0.018,0.825,0.157,0.9941
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20061208_prayer_immacolata_html,0.059,0.706,0.235,0.9992
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20070512_prayer_aparecida_html,0.007,0.77,0.223,0.9999
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20070901_prayer_loreto_html,0.024,0.863,0.114,0.9769
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20070907_prayer_vienna_html,0.019,0.756,0.225,0.9996
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20080420_prayer_ground_zero_html,0.167,0.641,0.193,0.8596
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20080515_prayer_sheshan_html,0.031,0.837,0.132,0.9887
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20081208_prayer_immacolata_html,0.079,0.689,0.233,0.9996
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20090319_prayer_africa_html,0.046,0.757,0.197,0.9999
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20090512_prayer_wall_html,0.087,0.76,0.153,0.8908
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20090906_prayer_madonna_quercia_html,0.049,0.761,0.189,0.9982
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20100512_affidamento_fatima_html,0.036,0.834,0.129,0.9942
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20100512_prayer_fatima_html,0.015,0.764,0.221,0.9986
vatican__benedict-xvi__en__prayers_documents_hf_ben_xvi_20110327_fosse_ardeatine_html,0.105,0.76,0.135,0.5964
vatican__benedict-xvi__en__speeches_2005_april_documents_hf_ben_xvi_spe_20050419_first_speech_html,0.018,0.764,0.218,0.9822
vatican__benedict-xvi__en__speeches_2005_april_documents_hf_ben_xvi_spe_20050422_cardinals_html,0.026,0.76,0.215,0.9996
vatican__benedict-xvi__en__speeches_2005_april_documents_hf_ben_xvi_spe_20050423_giornalisti_html,0.008,0.83,0.162,0.999
vatican__benedict-xvi__en__speeches_2005_april_documents_hf_ben_xvi_spe_20050425_german_pilgrims_html,0.05,0.733,0.218,0.9998
vatican__benedict-xvi__en__speeches_2005_april_documents_hf_ben_xvi_spe_20050425_rappresentanti_religiosi_html,0.019,0.761,0.22,0.9995
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050818_cologne_cathedral_html,0.017,0.779,0.205,0.9997
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050818_welcome_germany_html,0.007,0.775,0.218,0.9999
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050818_youth_celebration_html,0.017,0.796,0.187,0.9999
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050819_cologne_synagogue_html,0.058,0.759,0.183,0.9996
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050819_ecumenical_meeting_html,0.032,0.85,0.118,0.9995
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050819_seminarians_html,0.019,0.811,0.171,0.9998
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050820_meeting_muslims_html,0.073,0.7,0.227,0.9997
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050820_vigil_wyd_html,0.042,0.766,0.192,0.9999
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050821_farewell_wyd_html,0.01,0.77,0.221,0.9997
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050821_german_bishops_html,0.046,0.758,0.196,1.0
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050825_ambassador_venezuela_html,0.034,0.731,0.235,0.9999
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050826_ambassador_paraguay_html,0.03,0.76,0.21,0.9995
vatican__benedict-xvi__en__speeches_2005_august_documents_hf_ben_xvi_spe_20050829_ambassador_ecuador_html,0.034,0.77,0.197,0.9995
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_algeria_html,0.055,0.685,0.26,0.9997
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_andorra_html,0.018,0.77,0.212,0.9995
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_danimarca_html,0.023,0.764,0.212,0.9993
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_eritrea_html,0.07,0.695,0.234,0.9994
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_finlandia_html,0.033,0.777,0.19,0.9995
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_nepal_html,0.048,0.742,0.209,0.9993
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_salvador_html,0.047,0.762,0.191,0.9991
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_santa_lucia_html,0.02,0.754,0.227,0.9996
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_sud_africa_html,0.053,0.735,0.212,0.9992
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_tanzania_html,0.042,0.724,0.235,0.9994
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassador_togo_html,0.012,0.792,0.196,0.9991
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_ambassadors_html,0.026,0.798,0.175,0.9973
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051201_commissione_teologica_html,0.021,0.821,0.158,0.9988
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051203_adlimina_polonia_ii_html,0.027,0.757,0.216,0.9999
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051203_family_america_latina_html,0.042,0.772,0.185,0.9994
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051208_piazza_spagna_html,0.005,0.81,0.185,0.9991
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051209_methodist_council_html,0.0,0.772,0.228,0.9985
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051210_religious_rome_diocese_html,0.025,0.816,0.159,0.9991
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051215_cattolici_ortodossi_html,0.015,0.804,0.181,0.9988
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051215_saluto_universitari_html,0.019,0.73,0.252,0.9995
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051216_militari_italiani_html,0.021,0.79,0.189,0.9985
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051217_ad_limina_poland_html,0.04,0.784,0.176,0.9998
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051217_christmas_tree_html,0.014,0.768,0.218,0.999
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051219_ambassador_france_html,0.03,0.78,0.19,0.9998
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051219_azione_cattolica_html,0.01,0.702,0.288,0.9996
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051220_cappella_musicale_html,0.006,0.749,0.246,0.9997
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051222_roman_curia_html,0.079,0.769,0.152,0.9999
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051223_ambassador_great_britain_html,0.031,0.699,0.271,0.9998
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051223_appartamento_pontificio_html,0.019,0.824,0.156,0.9984
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051230_dispensario_s_marta_html,0.02,0.755,0.225,0.9994
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051230_pueri_cantores_html,0.004,0.734,0.262,0.9985
vatican__benedict-xvi__en__speeches_2005_december_documents_hf_ben_xvi_spe_20051231_gendarmeria_html,0.022,0.748,0.23,0.9992
vatican__benedict-xvi__en__speeches_2005_july_documents_hf_ben_xvi_spe_20050702_ad_limina_zimbabwe_html,0.012,0.788,0.2,0.9993
vatican__benedict-xvi__en__speeches_2005_july_documents_hf_ben_xvi_spe_20050704_archdiocese_madrid_html,0.036,0.829,0.136,0.9966
vatican__benedict-xvi__en__speeches_2005_july_documents_hf_ben_xvi_spe_20050707_circolo_san_pietro_html,0.048,0.756,0.196,0.998
vatican__benedict-xvi__en__speeches_2005_july_documents_hf_ben_xvi_spe_20050725_diocesi_aosta_html,0.068,0.741,0.191,1.0
vatican__benedict-xvi__en__speeches_2005_july_documents_hf_ben_xvi_spe_20050728_arrivo_castel_gandolfo_html,0.0,0.713,0.287,0.9936
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050604_diocesi_verona_html,0.004,0.812,0.184,0.9995
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050606_convegno_famiglia_html,0.029,0.758,0.213,1.0
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050609_jewish_committee_html,0.013,0.765,0.221,0.9986
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050610_ad_limina_south_africa_html,0.051,0.718,0.23,0.9996
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_azerbaijan_html,0.025,0.733,0.242,0.9995
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_guinea_html,0.051,0.677,0.272,0.9995
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_malta_html,0.004,0.801,0.195,0.9986
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_new_zealand_html,0.029,0.749,0.222,0.9995
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_rwanda_html,0.025,0.775,0.2,0.9992
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_switzerland_html,0.023,0.765,0.212,0.9992
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassador_zimbabwe_html,0.018,0.747,0.235,0.9995
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_ambassadors_html,0.031,0.778,0.191,0.9978
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050616_world_council_churches_html,0.013,0.818,0.168,0.9979
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050618_madagascar_html,0.032,0.774,0.193,0.9986
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050623_roaco_html,0.016,0.775,0.209,0.9993
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050624_president_ciampi_html,0.048,0.744,0.207,0.9997
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050625_new_guinea_solomon_html,0.009,0.77,0.221,0.9996
vatican__benedict-xvi__en__speeches_2005_june_documents_hf_ben_xvi_spe_20050628_compendium_html,0.005,0.754,0.241,0.9999
