term_str,pre_mean,post_mean
accorded,6.431714256766239e-05,4.8713338067604556e-05
according,0.0008323780916129232,0.0007504414071201961
accordingly,0.0003509171655084838,0.00010991062644500902
accords,2.3287586150773117e-05,8.348500552818723e-06
account,0.0004468691075986788,0.00044592914254645713
accountability,7.797288776879106e-07,2.9277518774740653e-06
accountable,0.0,3.288926401506848e-06
accounted,4.944262359040377e-05,5.0343451353016125e-06
accounting,7.580245961967845e-06,7.488040387900515e-06
accounts,2.911322181282148e-05,3.40351136516684e-05
accredit,0.0,0.0
accredited,7.685090949757454e-06,1.5750561180373546e-05
accrediting,0.0,0.0
accredits,0.0,0.0
accrue,7.184244287547236e-05,0.0
accumulate,5.675200235023745e-06,4.273244663148643e-06
accumulated,1.5407218095400457e-05,2.3431361710902048e-05
accumulating,2.7788837934125798e-06,8.580148403930205e-06
accumulation,1.568947011683744e-05,3.1695282470332824e-05
accuracy,2.0554938398679343e-05,1.817281709550519e-06
accurate,7.308699955761961e-05,5.9129085656503784e-05
accurately,9.542307576288068e-05,2.2386046964743505e-05
accursed,9.23029209839454e-05,2.1799347077081906e-06
accusation,4.0011055219729695e-05,1.9182246525754834e-05
accusations,7.687326062686229e-05,9.180867654281178e-05
accuse,7.649264185285091e-05,8.179668350794754e-06
accused,0.00010851451783654345,0.00028090065459603417
accuser,6.784022546248608e-06,2.35035476795989e-06
accusers,1.2380302772561942e-05,1.211041263491465e-05
accuses,5.818722077189836e-06,3.474861660954647e-06
accusing,1.0481559186260349e-05,7.749474461158142e-06
accustom,1.7809107515631386e-05,3.2050873431858593e-06
accustomed,0.00022399799641922955,7.842183304715978e-05
achieve,0.0001326140075493577,9.793439139412408e-05
achieved,0.00012151174944270532,0.00015582066338774633
achievement,5.290321528699225e-05,6.613026694497362e-05
achievements,5.602755042707365e-05,5.9908367920654016e-05
achieves,8.950675994591947e-06,2.8326065211084843e-05
achieving,4.4846716203302235e-05,4.694550646288954e-05
achille,0.0,0.0
acknowledge,9.216521742057607e-05,0.000113116012852173
acknowledged,6.745761685715592e-05,0.00015892348250352086
acknowledgement,2.6866868616366013e-06,7.78995775944586e-06
acknowledges,1.4296848510300767e-05,6.77597305590512e-05
acknowledging,1.902025890650052e-05,5.785439138686782e-05
acknowledgment,1.8295125246164497e-05,5.266452249184697e-05
acommon,0.0,0.0
acquaintance,2.1968926899313786e-05,8.472449513746346e-06
acquaintances,1.3737243094620612e-06,8.286734616000743e-06
acquainted,3.746768435907727e-05,5.564305012049343e-06
acquiescence,3.016047198481546e-06,1.3091361711037203e-05
acquire,0.00013417060818012524,0.0001768657710689431
acquired,0.00020112947444074004,0.00014795739717144056
acquires,1.8663576968432538e-05,4.556024684748728e-05
acquiring,6.794257496166894e-05,7.161507209232222e-05
acquisition,6.647913548967032e-05,6.105068295412185e-05
acr,0.0,0.0
across,2.171161066066246e-05,1.0807520416342129e-05
act,0.0003335421270016092,0.000518606921523423
acta,0.00011174425510753069,0.00035127918582291686
acted,0.00016320836032642712,9.164735575237995e-05
acting,0.00015599883047434204,0.00021863273729050273
action,0.0004544928004194162,0.00035629540155230276
actions,0.00023745658031252634,0.00025249211076665886
activate,0.0,1.3564858238889585e-06
active,0.0001271027120909701,0.00018098883159341206
actively,3.595380347816745e-05,7.922901806760145e-05
activism,1.1313595973943433e-06,6.190445763888032e-06
activities,0.00010523447007099174,0.00024262452468276985
activity,0.00015622952777101518,0.0005742258639717665
actor,2.5859709191677307e-06,0.0
actors,1.4341602939003121e-05,3.0671467216012066e-05
acts,0.0003129917641282387,0.00036762332877150007
actual,0.0001162392292317519,0.00016303265627127354
actualization,0.0,2.695735058257002e-06
actualize,1.9504056105144465e-06,1.6485531937238796e-06
actualized,4.867528568081888e-06,1.6897554311197506e-05
actualizes,5.276596186250137e-07,7.236849290827818e-06
actually,0.00010511939747683302,0.00011921976688448788
actuated,1.0983647236697636e-05,6.087960835916729e-06
actuation,8.053011308938207e-07,1.0536748161253804e-05
actuositatem,0.0,4.7164682517726795e-05
acute,2.2016402003247433e-05,6.82562619184711e-05
acutely,4.061562775754963e-06,2.276019091682543e-06
acutis,0.0,0.0
adalbert,0.0,0.0
adam,7.64074362092987e-05,9.771501518179112e-05
adapt,3.976279731922824e-05,9.77937132914993e-05
adaptation,4.2585293383052315e-05,0.00010086001420920039
adaptations,4.186010091682487e-06,0.00010804542094522185
adapted,0.00016208931388847535,0.000155787548227628
adapting,2.918190350879558e-05,4.9958511624177016e-05
adapts,1.4394570620029292e-05,1.0484880081117392e-06
add,0.00031243813826617336,0.00011004950772475996
added,0.0006677253902338629,0.00016423716970286222
addicted,7.630784795443478e-06,2.8382777139034457e-06
addiction,0.0,7.885468467263532e-06
addictions,0.0,1.0935995582531602e-06
adding,7.067968179104629e-05,1.2517313811875673e-05
addition,0.0003755952395567165,0.0002760053885430378
additional,9.024199031322191e-05,2.2262097549984012e-05
additionally,2.564911825132682e-05,0.0
additions,0.000826250953708785,1.7031892330074745e-06
address,6.301305341465826e-05,0.00010216890322417231
addressed,0.0001896586750335832,0.0001911312858787157
addresses,4.989939517140127e-05,7.958306706439356e-05
addressing,5.292330077828222e-05,4.019274357594586e-05
addressof,0.0,6.67506171623425e-05
adds,7.014858941997864e-05,0.00010491820874052316
adduced,1.9106464717220902e-05,5.307901603281255e-06
adequate,5.95291302576757e-05,0.00015496184098549637
adequately,4.5204014446541e-05,9.36339539995127e-05
adhere,0.00010565305927625118,7.397795522665162e-05
adhered,4.1672122948150464e-05,0.0
adherence,1.8744374428103467e-05,8.85674124856135e-05
adherents,6.60225167208988e-05,3.588334981526349e-06
adheres,2.2478140500535662e-05,1.4990450214000292e-05
adhering,2.554072650577592e-05,6.966148160949834e-06
adhesion,8.317797460874039e-06,0.0
adjacent,1.7163383508435432e-05,1.2264197613294775e-05
adjective,0.0,6.302259732674663e-06
adjectives,0.0,1.8704624864864076e-06
adjunct,0.0,0.0
adjust,4.2596337654152005e-06,0.0
adjusted,9.123938477718159e-06,8.752052783009761e-06
adjustment,1.0785030430807909e-05,1.1314203997878194e-05
adjustments,0.0,9.47319118859252e-06
administer,0.00018770215556783163,6.387812350955702e-05
administered,3.496778021604503e-05,0.0002898622755757856
administering,7.919541527318618e-05,4.788212820108018e-05
administers,9.951467657020388e-06,5.694010840821376e-06
administration,0.00024011419617753408,0.00047080607868398727
administrations,8.83031619253574e-06,0.0
administrative,1.670192400472969e-05,0.0002043151496402413
administrator,1.9478011268438106e-05,1.8725493350672345e-05
administrators,3.41541244233155e-05,1.7963056108613748e-05
admirable,0.00021259918606395442,5.6345831947651025e-05
admirably,8.746590581485005e-05,6.793227100391006e-06
admiration,0.00010766051341911622,5.095243453990047e-05
admire,6.0643416269952714e-05,4.380144189134967e-05
admired,5.5575110608768444e-05,5.602234843853145e-06
admires,7.752286209749244e-06,9.952065506923888e-06
admiring,1.832758102433196e-05,5.93389783941219e-06
admissible,2.4090400030428472e-05,4.757346250660411e-05
admission,3.147631758840132e-05,0.00018903113061982224
admissos,0.0,0.0
admit,0.00020887920455886256,0.0002021381828676691
admits,3.9691608558861896e-05,1.5050348224278634e-05
admitted,0.00020230769115685878,0.00024396052597872202
admittedly,6.575235889629306e-06,2.8688853638928344e-05
admitting,5.5129484801155086e-05,4.217849679339584e-05
admonish,0.00017831693419692195,2.9890307697323843e-06
admonished,0.00014039995106327429,8.804847042432237e-06
admonishes,6.763351269752978e-05,1.3946430806161711e-05
admonishing,3.531163987006187e-05,3.1311767350629292e-06
admonition,0.0001171613166444464,5.141073314352256e-05
admonitions,0.00018824311957435041,1.1012209927624851e-06
adolescence,1.1244319589246824e-05,3.8681551834480744e-05
adolescent,5.703730305154381e-06,4.1036553255374285e-05
adolescents,7.938514244903353e-06,5.184916457458251e-05
adopt,7.16076874885937e-05,6.800723874608103e-05
adopted,0.00010409310742416812,0.00031031026971290354
adopting,1.4335466551780146e-05,7.492778984000604e-05
adoption,2.072989912792326e-05,4.8114059394307175e-05
adoptive,7.946947097919513e-06,1.2640203979931047e-05
adopts,2.7338570450368496e-05,1.2859664292720705e-05
adorable,3.785315788601141e-05,1.1509798198165099e-05
adoration,4.746187690557962e-05,0.00011489274060244445
adore,5.823498238884088e-05,2.016488259563917e-05
adored,1.227168018662049e-05,1.8472796807753576e-05
adorers,1.0732886381508268e-05,0.0
adores,3.598032420958043e-06,1.6597666695397693e-06
adoring,1.4092254183356238e-05,8.886781213214675e-06
adorn,6.408592784091312e-05,9.789792309349145e-06
adorned,0.00012208937276448852,3.2698529574791e-05
adornment,6.077491679976989e-05,0.0
adorns,3.443936445145851e-06,4.619513571051719e-05
adriatic,3.2696200182068807e-07,0.0
adrift,0.0,6.306229919419842e-06
adult,1.585401981800591e-05,7.175414073362016e-05
adulteress,1.1843042022044607e-06,1.6248582500879895e-05
adulterous,1.2600199647260842e-05,0.0
adultery,2.2581897893401706e-05,5.6141371362119295e-05
adulthood,0.0,1.9512676695781836e-05
adults,4.161626860158257e-05,0.00021658180140110095
adv,1.5765917354778392e-05,5.0113149769627104e-06
advance,0.00015995487744316293,5.792275167059656e-05
advanced,0.00010654997515352775,8.499979459444945e-05
advancement,4.8730363840172e-05,0.00010167293709280865
advances,2.9782699367241247e-05,4.965637458466707e-05
advancing,4.0003760228887115e-05,4.000372575424419e-05
advantage,0.00038574913175918837,0.00010867930287811157
advantageous,7.61616711295639e-05,2.6634680300862382e-05
advantages,0.00022371077904562232,2.1628323257871822e-05
adveniens,0.0,1.3985506260642522e-05
adveniente,1.1093655879957558e-06,4.106526283590022e-05
advent,1.0382863624392808e-05,0.00011082297337626016
adventure,5.786410083404153e-07,2.1347573799843527e-05
adventures,0.0,0.0
adversaries,0.0001536514310488946,6.1292855336974425e-06
adversary,8.836139573293246e-05,7.93614126505493e-06
adverse,8.078755986778702e-05,8.899474303114146e-06
adversities,2.8507165049119313e-05,2.7376559844569687e-05
adversity,8.762549253006861e-05,3.859055572473115e-06
adversus,4.1799133226821565e-06,0.0001380365622883137
advertising,0.0,5.038760497730821e-06
advice,0.0003498760236631844,8.503160833324881e-05
advisable,3.042661980020734e-05,1.4975032782858842e-05
advise,0.00010016743033153808,0.0
advised,5.2668071764204765e-05,7.445112195432742e-06
advisers,1.205241639699928e-05,0.0
advises,2.5323373111129993e-05,0.0
advisors,1.1993615873751278e-06,0.0
advocate,6.774764575778852e-05,4.529198576280867e-05
advocated,9.284806872761852e-06,0.0
advocates,3.943748179914241e-05,2.3000788327527192e-05
advocating,7.4263307541193104e-06,0.0
aegis,1.4347967797029148e-06,3.380090269364422e-06
aesthetic,5.755393135364976e-06,1.6974851272084244e-05
aetate,2.8082861712756747e-06,2.2562229909384775e-05
aeternum,0.0,9.615856892851709e-06
afar,1.8535845041917966e-05,7.111370850625266e-06
affair,7.796480065058124e-05,1.5645723559232596e-06
affairs,0.0005698206732642935,0.00010973678258343365
affect,6.625966559138018e-05,6.378550473960074e-05
affected,6.854505068866709e-05,5.6532911653530736e-05
affecting,3.398904785436639e-05,6.75995999266037e-05
affection,0.0002855507135989404,7.35967095611498e-05
affectionate,3.5678663258644065e-05,1.0734784201644225e-05
affectionately,9.704916295497517e-05,1.0728102967244457e-06
affections,4.6292638215019824e-05,1.866362017495247e-05
